remote-sensing inversion	DierssenImageDiffuse
9	6
Comments: 
02/13/17	19:19:05
Image	debug\gail_15bands_7cm_jun222016_utmz33_reg_clip_new_badpixsmsk_bil_quac_spatialsubset20cm.hdr
Transect	debug\BathymetryImageDierssen_gail_15bands_7cm_jun222016_utmz33_reg_clip_new_badpixsmsk_bil_quac_spatialsubset20cm.txt
Params	Default
Alpha	0.01
NIter	5
Width/Height	5
X	Y	RRS555	RRS670	Depth	T	
1855	455	1332.87	2620.18	0.125504	8.03207	
5	505	0	0	-1.#IND	8.81741	
55	505	1113.69	1791.97	0.16322	7.90663	
105	505	1779.93	3473.84	0.126718	8.10544	
155	505	1750.2	2754.29	0.16796	10.0502	
205	505	1198.28	2140.34	0.14247	8.60568	
255	505	1311.77	2099.51	0.164344	9.15611	
305	505	1383.67	2627.69	0.131402	9.51001	
355	505	1551.03	2938.5	0.131819	8.51331	
405	505	2415.12	3521.93	0.185136	8.23772	
455	505	0	0	-1.#IND	9.06982	
505	505	0	0	-1.#IND	9.38	
555	505	2568.72	3600.3	0.194668	7.90815	
605	505	2332.48	3063.19	0.211237	9.17321	
655	505	1928.48	2482.89	0.216523	7.36267	
705	505	0	0	-1.#IND	10.512	
755	505	0	0	-1.#IND	7.91271	
805	505	0	0	-1.#IND	7.92868	
855	505	0	0	-1.#IND	8.89458	
905	505	0	0	-1.#IND	8.75203	
955	505	0	0	-1.#IND	8.54372	
1005	505	2248.06	1555.94	0.450039	8.13357	
1055	505	2150.44	1669.18	0.395557	7.96783	
1105	505	2167.06	1634.92	0.408526	11.8044	
1155	505	0	0	-1.#IND	8.75469	
1205	505	0	0	-1.#IND	7.90587	
1255	505	0	0	-1.#IND	10.2988	
1305	505	3133.88	4021.1	0.217443	9.06222	
1355	505	0	0	-1.#IND	8.47454	
1405	505	2805.5	3937.12	0.194359	9.44196	
1455	505	3907.34	3935.31	0.292027	8.25331	
1505	505	3215.73	4214.22	0.211795	7.97962	
1555	505	1806.96	2814.43	0.170202	9.08236	
1605	505	1256.27	2362.8	0.133096	9.62556	
1655	505	1332.57	2456.11	0.136702	8.36468	
1705	505	1410.33	2521.88	0.142264	8.29512	
1755	505	1467.57	2384.19	0.161207	8.46656	
1805	505	1504.12	1267.32	0.360055	8.1636	
1855	505	1373.22	2633.02	0.129738	8.40536	
5	555	1332.34	2089.4	0.168715	8.73683	
55	555	1074.32	1466.97	0.201171	9.68676	
105	555	1698.52	2466.36	0.186144	8.22556	
155	555	1221.67	2011.72	0.15841	8.27611	
205	555	1256.85	2280.42	0.139564	8.31565	
255	555	1188.91	1896.84	0.165019	8.33884	
